"Transfer TimeStamp","Transfer Date","Line Item Amount EUR","Acct. Label","Report Code","Event Period","District Office","Event Type","Expense Description","Expense Type","Travel Mode","Travel Dist"
02-Feb-16,02-Feb-16,80.00,E7058,TR951,Oct-2015,DD,Other,Hotel Div H and Div A conference visits 40 + 40 ,Lodging,,
02-Feb-16,02-Feb-16,27.88,E7060,TR951,Oct-2015,DD,Other,"Train Dusseldorf - Paderporn 0,17*164km",Travel,Train,164 km
14-Feb-16,14-Feb-16,146.32,E7034,CP603,Dec-2015,DD,Other,GoToMeeting subscription December and January,Communication,,
14-Feb-16,14-Feb-16,189.85,E7060,TR951,Jan-2016,DD,COT,COT in Ukraine,Travel,Air,"1,406 km"
14-Feb-16,14-Feb-16,138.35,E7060,TR951,Feb-2016,DD,DECM,DECM in Budapest,Travel,Air,"1,921 km"
14-Feb-16,14-Feb-16,159.56,E7060,TR958A,Feb-2016,DD,DECM,Area Director K1 flight ticket to Budapest E7060 - TR958B,Travel,Air,"1,922 km"
23-Mar-16,23-Mar-16,213.69,E7058,TR951,Jan-2016,DD,Other,District Leader Training - lodging 3 nights ,Travel,Other,"3,443 km"
23-Mar-16,23-Mar-16,213.69,E7058,TR952,Jan-2016,DD,Other,District Leader Training - lodging 3 nights ,Travel,Other,"3,443 km"
23-Mar-16,23-Mar-16,40.00,E7058,TR951,Jan-2016,DD,COT,"Hotel in Kiev for Ukrainian COT, paid in cash",Lodging,,
08-Apr-16,08-Apr-16,169.52,E7060,TR951,Mar-2016,DD,Conference,Airfare to visit Area K2 Toastmasters: Lithuania a new country,Travel,Air,688 km
08-Apr-16,08-Apr-16,265.41,E7060,TR951,Apr-2016,DD,Conference,Airfare to visit Division E Conference in Olsztyn. Flight to Gdansk,Travel,Air,"1,116 km"
08-Apr-16,08-Apr-16,371.49,E7060,TR951,Apr-2016,DD,Conference,Airfare to visit Division D Conference in Vienna,Travel,Air,"1,732 km"
08-Apr-16,08-Apr-16,219.48,E7034,CP603,Feb-2016,DD,Other,"GoToMeeting subscription February, March, April",Communication,,
03-Jun-16,03-Jun-16,220.16,E7060,TR951,May-2016,DD,Conference,District Conference ,Travel,Air,"1,921 km"
03-Jun-16,03-Jun-16,36.03,E7058,TR951,Apr-2016,DD,Conference,"Division E visit, hotel expense",Lodging,,
03-Jun-16,03-Jun-16,67.85,E7026,CP601,Apr-2016,K0,Other,Website Hosting 12 months,Other,,
26-Jun-16,26-Jun-16,25.69,E7072,MK511,Apr-2016,DD,Other,Customs and VAT for a new club banner,Marketing,,
26-Jun-16,26-Jun-16,40.00,E7058,TR951,Apr-2016,DD,Conference,Lodging in Vienna - Division D conference ,Lodging,,
26-Jun-16,26-Jun-16,40.00,E7058,TR951,May-2016,DD,Conference,Lodging in Timisoara - District Conference,Lodging,,
26-Jun-16,26-Jun-16,57.82,E7066,TR951,May-2016,DD,Conference,Bus Budapest-Timisoara and Timisoara-Budapest,Travel,Bus,316 km
